hash_bits,mil_tup_per_sec
1,3.44818
2,3.41725
3,3.65101
4,3.54452
5,3.6659
6,3.54682
7,3.53464
8,3.54847
9,3.5241
10,3.44519
11,3.43627
12,3.30734
13,3.17864
14,3.04535
15,2.87834
16,2.65978
17,2.4005
18,2.15551
