hash_bits,mil_tup_per_sec
1,1.17322
2,1.51337
3,2.08041
4,2.51601
5,3.16361
6,3.62249
7,4.71618
8,6.64861
9,10.1057
10,18.2453
11,26.3901
12,33.3185
13,38.93
14,43.5346
15,38.7729
16,37.5385
17,36.1365
18,32.9352
