hash_bits,mil_tup_per_sec
1,48.6643
2,45.0968
3,48.7486
4,49.7592
5,50.4278
6,48.8894
7,48.7731
8,47.4772
9,47.3669
10,47.9817
11,43.4466
12,42.5486
13,35.2761
14,33.8741
15,30.0177
16,27.0134
17,20.1555
18,18.8585
