hash_bits,mil_tup_per_sec
1,1.61121
2,1.86281
3,2.23236
4,2.27673
5,2.344
6,2.51006
7,2.83348
8,3.41373
9,4.18573
10,5.59812
11,6.06663
12,6.07872
13,5.76012
14,6.02187
15,5.84661
16,5.58329
17,4.92482
18,4.73262
