hash_bits,mil_tup_per_sec
1,1.59031
2,1.7178
3,2.1541
4,2.26415
5,2.56511
6,2.83848
7,3.29884
8,4.02172
9,5.82884
10,8.83059
11,11.1882
12,11.94385
13,12.14735
14,12.62565
15,12.57555
16,12.06025
17,11.2489
18,10.16845
