hash_bits,mil_tup_per_sec
1,3.32033
2,3.37197
3,3.64811
4,3.54239
5,3.66453
6,3.54456
7,3.52658
8,3.53846
9,3.51548
10,3.43696
11,3.42974
12,3.30523
13,3.16902
14,3.04083
15,2.87508
16,2.65887
17,2.39305
18,2.15332
