hash_bits,mil_tup_per_sec
1,1.56263
2,1.6911
3,2.02758
4,2.18737
5,2.50654
6,2.6912
7,2.81244
8,2.99421
9,3.20382
10,3.28936
11,3.28787
12,3.25216
13,3.23422
14,3.29601
15,3.27531
16,3.18667
17,2.93765
18,2.66848
