hash_bits,mil_tup_per_sec
1,1.5594
2,1.64834
3,2.48191
4,2.96135
5,3.86758
6,4.25593
7,5.47344
8,7.46348
9,9.11872
10,11.84135
11,15.22995
12,16.37135
13,17.8578
14,18.4488
15,18.4523
16,15.8124
17,14.00994
18,12.58243
