hash_bits,mil_tup_per_sec
1,1.60677
2,1.75942
3,2.39158
4,2.86796
5,3.45606
6,3.92038
7,4.74793
8,5.92853
9,6.85939
10,8.71184
11,10.27395
12,10.45035
13,11.1033
14,11.2806
15,11.44825
16,10.85115
17,9.72429
18,8.4139
