hash_bits,mil_tup_per_sec
1,26.3246
2,24.9817
3,26.954
4,27.2297
5,27.7517
6,27.2251
7,27.4575
8,26.5491
9,27.1589
10,26.6047
11,25.1935
12,23.8356
13,22.5291
14,19.1444
15,17.6607
16,15.7042
17,13.1782
18,10.8631
