hash_bits,mil_tup_per_sec
1,3.36286
2,3.39749
3,3.6116
4,3.53012
5,3.64699
6,3.56229
7,3.50768
8,3.54735
9,3.49435
10,3.4408
11,3.41078
12,3.31538
13,3.19857
14,3.07554
15,2.89971
16,2.70777
17,2.44552
18,2.17999
