hash_bits,mil_tup_per_sec
1,3.32603
2,3.39417
3,3.65196
4,3.54129
5,3.66355
6,3.55668
7,3.53435
8,3.54607
9,3.52087
10,3.44298
11,3.4338
12,3.30945
13,3.17419
14,3.04106
15,2.8781
16,2.66234
17,2.39542
18,2.15678
