hash_bits,mil_tup_per_sec
1,2.49606
2,2.53375
3,2.68345
4,2.61856
5,2.66824
6,2.61961
7,2.59653
8,2.62769
9,2.59911
10,2.57742
11,2.56815
12,2.51748
13,2.45974
14,2.38255
15,2.27227
16,2.09225
17,1.86921
18,1.65401
