hash_bits,mil_tup_per_sec
1,1.76913
2,1.94448
3,2.18686
4,2.45021
5,2.85278
6,3.20428
7,3.63549
8,4.03676
9,4.19418
10,4.43125
11,4.45194
12,4.11734
13,4.04321
14,3.95715
15,4.06792
16,3.89006
17,3.53561
18,3.1578
