hash_bits,mil_tup_per_sec
1,6.553
2,7.71
3,8.738
4,10.922
5,13.107
6,18.724
7,21.845
8,21.845
9,21.845
10,21.845
11,21.845
12,21.845
13,18.724
14,18.724
15,18.724
16,13.107
17,10.922
18,7.71
