hash_bits,mil_tup_per_sec
1,43.69
2,43.69
3,43.69
4,65.536
5,43.69
6,32.768
7,32.768
8,26.214
9,26.214
10,32.768
11,21.845
12,21.845
13,18.724
14,18.724
15,18.724
16,16.384
17,11.915
18,8.738
