hash_bits,mil_tup_per_sec
1,6.898
2,7.71
3,7.71
4,8.738
5,10.082
6,10.922
7,10.922
8,11.915
9,8.738
10,10.922
11,10.922
12,9.362
13,8.738
14,8.738
15,8.738
16,7.281
17,5.461
18,4.681
