hash_bits,mil_tup_per_sec
1,27.2381
2,26.6036
3,27.7577
4,28.2435
5,27.7683
6,27.4312
7,27.714
8,27.3997
9,27.986
10,26.8346
11,26.4775
12,25.1477
13,23.5245
14,21.5865
15,19.1997
16,15.5662
17,12.2524
18,10.2293
