hash_bits,mil_tup_per_sec
1,2.57431
2,2.58398
3,2.68498
4,2.61913
5,2.66759
6,2.62285
7,2.60011
8,2.63051
9,2.60451
10,2.58001
11,2.55988
12,2.5057
13,2.4498
14,2.39014
15,2.28571
16,2.10275
17,1.88452
18,1.66649
