hash_bits,mil_tup_per_sec
1,1.69946
2,1.76065
3,2.0954
4,2.23143
5,2.42159
6,2.46513
7,2.74849
8,3.44056
9,4.42557
10,5.75978
11,6.09242
12,6.128
13,6.11843
14,6.20064
15,6.07021
16,5.73696
17,5.29603
18,4.80222
