hash_bits,mil_tup_per_sec
1,6.7495
2,6.27237
3,6.80967
4,6.85833
5,7.28328
6,7.11857
7,7.06359
8,7.07341
9,7.03817
10,6.94059
11,6.84758
12,6.63735
13,6.37929
14,5.98996
15,5.50949
16,4.9339
17,4.33363
18,3.77243
