hash_bits,mil_tup_per_sec
1,2.54818
2,2.56815
3,2.6047
4,2.56058
5,2.71186
6,2.65042
7,2.62593
8,2.65514
9,2.6305
10,2.60286
11,2.58732
12,2.52914
13,2.47745
14,2.40506
15,2.29816
16,2.10835
17,1.87599
18,1.6553
