hash_bits,mil_tup_per_sec
1,13.8499
2,13.5373
3,14.0418
4,13.9268
5,14.2903
6,13.9482
7,13.7893
8,13.8603
9,13.8042
10,13.4346
11,12.9411
12,12.275
13,11.2247
14,10.115
15,9.16306
16,7.69986
17,6.4918
18,5.45397
