hash_bits, mil_tup_per_sec
1,4.228
2,3.855
3,4.096
4,4.228
5,4.228
6,4.228
7,4.096
8,3.971
9,4.096
10,3.971
11,4.369
12,4.096
13,4.228
14,3.744
15,3.36
16,3.744
17,3.542
18,3.196
