hash_bits, mil_tup_per_sec
1,8.738
2,8.738
3,8.192
4,8.192
5,7.71
6,8.738
7,8.192
8,8.192
9,7.71
10,7.281
11,6.241
12,5.698
13,5.041
14,4.369
15,2.912
16,3.196
17,2.73
18,2.473
