hash_bits,mil_tup_per_sec
1,2.56872
2,2.5833
3,2.69691
4,2.61676
5,2.69284
6,2.6465
7,2.62235
8,2.65331
9,2.62534
10,2.55016
11,2.53215
12,2.49862
13,2.44074
14,2.3683
15,2.2662
16,2.08433
17,1.85012
18,1.6322
