hash_bits,mil_tup_per_sec
1,13.85475
2,12.70035
3,13.77515
4,14.43445
5,14.38655
6,13.93095
7,13.80375
8,14.1261
9,14.09075
10,13.92885
11,13.562
12,13.119
13,12.42945
14,11.29055
15,10.61105
16,9.43681
17,7.46024
18,6.11504
